දිනය : 2026-03-14,,,,,
නගරය,උෂණ් ත්වය(හෙ. අංශක),,ොහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,24,95,55,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,32,25,90,75,වැසි සව් ල්පයක්
යකාළඹ,32,25,90,55,වැසි සව් ල්පයක්
ගාල්ල,32,25,90,65,සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යාපනය,34,23,95,60,ප්‍රධාන වශයයන් වැසි රහිත
ම නුවර,33,21,90,50,සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
නුවරඑළිය,22,11,95,65,සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
රත්නපුරය,37,24,95,45,සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ත්‍රිකුණාමලය,31,25,90,70,වැසි සව් ල්පයක්
මන්නාරම,33,25,95,65,ප්‍රධාන වශයයන් වැසි රහිත
