River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.00,3.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.00,3.99,Normal,,0.8,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.86,11.88,Normal,,11.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.84,Normal,,6.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.57,1.38,Normal,,4.5,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.36,1.37,Normal,,12.1,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.09,1.08,Normal,,2.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.46,2.50,Normal,,17.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.58,8.60,Normal,,15.1,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.54,5.54,Alert,,3.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.20,4.15,Alert,Falling,13.5,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.45,6.47,Alert,Rising,15.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.18,3.18,Normal,,2.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.74,2.70,Normal,,5.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.06,1.10,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.60,4.56,Normal,,2.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.52,1.49,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.90,0.87,Normal,,8,.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.13,1.12,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.59,0.57,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.69,0.69,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.32,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.03,-0.04,Normal,,2.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.75,0.74,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.42,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.02,-0.04,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,3.30,3.31,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.40,2.39,Normal,,0.9,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.82,1.84,Normal,,4.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.26,0.26,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.27,1.28,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.25,1.27,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.65,1.64,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.96,0.98,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.51,3.51,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.44,2.42,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.32,3.32,Alert,,3.7,,
