River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
2
Level
i
Rising or
Falling","4 Hr RF
n mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.93,3.96,Normal,,28.1
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.06,12.10,Normal,,46.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.82,1.82,Normal,,37.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.78,1.65,Normal,,58.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.65,1.54,Normal,,40.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.19,1.18,Normal,,32.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.72,1.80,Normal,,26.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.92,7.92,Normal,,52.9
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.98,5.91,Alert,Falling,42.8
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.68,4.74,Alert,Rising,54.6
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.40,5.47,Alert,Rising,68.5
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.35,2.46,Normal,,11.6
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.75,3.70,Normal,,39.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.59,0.60,Normal,,10.1
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.75,3.86,Normal,,8.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.47,1.53,Normal,,18.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.08,1.08,Normal,,22.8
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.53,1.49,Normal,,35.7
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.41,0.43,Normal,,26.2
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.53,0.54,Normal,,6.1
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.27,Normal,,35.7
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.01,0.01,Normal,,21.5
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.62,0.62,Normal,,1.2
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.41,0.41,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.11,0.11,Normal,,0.1
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,-0.06,-0.09,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.26,-3.28,Normal,,2.1
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.48,2.42,Normal,,8.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.91,1.88,Normal,,35.2
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.20,0.20,Normal,,6.9
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.25,1.25,Normal,,0.3
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.16,1.16,Normal,,0.3
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.30,0.33,Normal,,14.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.43,0.45,Normal,,37.6
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.09,3.14,Normal,,24.6
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.25,2.45,Normal,,44.3
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.10,3.17,Normal,,15.4
