,11,"මුලතිව්න
Ky;iyj;jPT
Mulaitivu",Manthai East,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.17,,,,,,,,,,,,
,,,Puthukudiyiruppu,,2023.08.08,,,,,,,,,,,,
,,,Maritimepattu,,2023.08.29,242,835,,,,,,,,,,
,,,Tunukkai,,2023.08.11,,,,,,,,,,,,
,,,Welioya,,2023.08.30/31,,,,,,,7,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,242,835,0,0,0,0,7,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,11228,38087,0,0,0,0,7,0,0,0,0,0
"ඌව
Cth khfhzk;
Uva",12,"බදුල්ල
gJs;is
Badulla",Mahiyanganaya,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.04,165,668,,,,,,,,,,
,,,Badulla,,2023.08.07,316,1368,,,,,,,,,,
,,,Haldemulle,,2023.08.21,383,1245,,,,,,,,,,
,,,Meegahakivula,,2023.08.21,520,2130,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1384,5411,0,0,0,0,0,0,0,0,0,0
,,"ගමානරාෙල
nkhdwhfiy
Moneragala",Buttala,,2023.08.07,,,,,,,,,,,,
,,,Medagama,Drinking water scarcity,2023.08.15,,,,,,,,,,,,
,13,,Thanamalvila,"due to prevailing dry
weather condition",2023.08.07,4894,14741,,,,,,,,,,
,,,Wellawaya,,2023.08.01,,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4894,14741,0,0,0,0,0,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,6278,20152,0,0,0,0,0,0,0,0,0,0
"දකුනු පලාත
njd; khfhzk;
Southern",14,"හම්බන්ගතාට
`k;ghe;Njhl;il
Hambantota",Lunugamvehera,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.01,4707,20051,,,,,,,,,,
,,,Thissamaharama,,2023.08.02,,,,,,,,,,,,
,,,Katuwana,,2023.08.01,,,,,,,,,,,,
,,,Weeraketiya,,2023.08.02,,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4707,20051,0,0,0,0,0,0,0,0,0,0
,15,"ොල්ල
fhyp
Galle",Akmeemana,Tree Fallen,2023.08.31,,,,,,,2,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,0,0,0,0,0,0,2,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4707,20051,0,0,0,0,2,0,0,0,0,0
"Western
Nky; khfhzk;
බස්ත්‍රනාහිර පලාත",16,"ෙම්පහ
fk;g`h
Gampaha",Divulapitiya,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.24,1834,5651,,,,,,,,,,
,,,Mirigama,,2023.08.24,18,39,,,,,,,,,,
,,,Aththanagalla,,2023.08.25,20,50,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1872,5740,0,0,0,0,0,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1872,5740,0,0,0,0,0,0,0,0,0,0
,17,"මාතගල්
khj;jis
Matale",Dambulla,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.07,6832,23520,,,,,,,,,,
,,,Galewela,,2023.08.14,,,,,,,,,,,,
,,,Naula,,2023.08.14,,,,,,,,,,,,
,,,Wilgamuwa,,2023.08.22,,,,,,,,,,,,
,,,Yatawatta,,2023.08.14,,,,,,,,,,,,
,,,Ukuwela,,2023.08.22,,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,6832,23520,0,0,0,0,0,0,0,0,0,0
