දින්‍ය : 2026-01-31,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,22,95,60,විටින් විට වැසි
මඩකලපුව,29,24,95,70,විටින් විට වැසි
ගකාළඹ,31,24,85,55,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ොේල,30,25,95,70,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
යාපනය,29,21,95,55,විටින් විට වැසි
මහනුවර,29,20,90,50,විටින් විට වැසි
නුවරඑළිය,19,14,95,40,වැසි වාර කිහිපයක්
රත්නපුරය,34,22,95,45,සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,28,22,80,65,විටින් විට වැසි
මන්නාරම,29,25,80,60,වැසි වාර කිහිපයක්
