Automatic Weather Station,Districts,Rainfall (mm)
"Penrith Estate, Avissawella",Colombo,175.0
Veyangoda,Gampaha,162.0
Kirindiwela,Gampaha,157.0
Pambegama Estate,Kegalle,135.0
Talduwa,Kegalle,131.0
Maliboda,Kegalle,125.5
