River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
2
Level
i
Rising or
Falling","4 Hr RF
n mm at
9:00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.65,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.70,2.67,Normal,,2.8
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.95,10.90,Normal,,4.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.27,2.10,Normal,,4.8
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.76,0.76,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.05,1.05,Normal,,1.5
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.08,1.06,Normal,,5.8
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.70,0.71,Normal,,1.1
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.69,5.66,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.78,1.76,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.65,1.61,Normal,,6.6
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.00,3.00,Normal,,4.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.72,1.74,Normal,,1.6
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.27,1.27,Normal,,2.4
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.96,0.96,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.42,3.42,Normal,,3.1
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.97,0.97,Normal,,2.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.49,0.49,Normal,,5.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.93,0.93,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.02,-0.03,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.57,0.56,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.00,1.00,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.32,-0.32,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.84,0.84,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.35,0.35,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.11,0.11,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.92,-0.92,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.22,0.22,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.15,-3.15,Normal,,0.0
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.37,4.30,Normal,,4.3
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.97,1.97,Normal,,6.6
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.28,0.28,Normal,,0.0
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.30,1.29,Normal,,2.1
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.56,1.56,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.34,0.34,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.99,0.99,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.07,-0.07,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.15,1.15,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.69,2.67,Normal,,9.8
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.45,1.45,Normal,,2.2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.68,0.67,Normal,,0.0
