දින්‍ය : 2026-02-11,,,,,
න්‍ගරය,උෂ්ණත්වය(පස. අංශක),,සාපේක්ෂ ආේරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරොධ්‍පුරය,29,21,90,55,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මඩකලපුව,29,23,85,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නකොළඹ,33,24,80,45,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ගොල්ල,29,24,90,75,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
යොපනය,30,21,95,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ම නුවර,28,17,90,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
නුවරඑළිය,20,8,80,50,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
රත්තනපුරය,34,23,85,50,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
ිකුණොමලය,30,22,85,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
මේනොරම,31,25,75,60,ප්‍රධ්‍ොන වශනයේ වැසි රහිත
