River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.30,1.20,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.95,0.92,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.14,9.11,Normal,,,16.9,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.56,1.57,Normal,,4,,0.7,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.58,0.58,Normal,,,16.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.60,0.62,Normal,,,26.5,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.65,0.64,Normal,,,13.5,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.41,0.45,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.28,4.33,Normal,,0.0,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.05,1.04,Normal,,0.0,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.95,0.95,Normal,,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.76,1.60,Normal,,0.0,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,0.83,0.83,Normal,,0.0,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.22,1.25,Normal,,0.0,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.28,0.25,Normal,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.30,2.30,Normal,,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.52,0.52,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.35,0.34,Normal,,0.0,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.01,1.01,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.83,1.79,Normal,,65.9,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.26,1.25,Normal,,,25.2,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.05,1.92,Normal,,98.9,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.40,0.38,Normal,,,25.6,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.24,1.23,Normal,,72.1,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.76,1.72,Normal,,51,,,.4,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.75,0.75,Normal,,1.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.52,1.62,Normal,,2.8,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.46,-1.47,Normal,,,18.7,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.92,2.11,Normal,,4.4,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.84,0.84,Normal,,2.1,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.72,0.70,Normal,,4.6,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.83,2.87,Normal,,0.9,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.84,0.83,Normal,,2.5,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.00,2.02,Normal,,1.4,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.63,0.69,Normal,,,16.2,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.94,0.97,Normal,,0.8,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.05,2.05,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.06,1.08,Normal,,,14.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.75,0.78,Normal,,0.0,,,,
