Samanalawewa(CEB)(cid:9),53.0
Mau Ara (Res) (HMIS),NA
ThimbolketPiy.Aa .(GH.MGaISy)ampath (H.,A.N)A
UdawalaweA (Rraevsi)n (dHaM GIuSn)asekara,(SNnAr. H
