River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
Midnight",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.90,1.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.11,1.08,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.25,9.25,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.59,1.58,Normal,,52.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.81,0.86,Normal,,7.7,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.18,1.07,Normal,,3.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.91,0.90,Normal,,2.9,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.10,1.08,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.58,5.50,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.63,1.57,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.65,1.64,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.04,-,,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.42,1.38,Normal,,3.1,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.46,1.49,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.56,0.54,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.57,2.55,Normal,,6.6,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.61,0.61,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.11,0.11,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.99,0.99,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.05,2.01,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,3.55,3.08,Normal,,2,3.4,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.17,2.17,Normal,,2.3,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.61,1.60,Normal,,14.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.28,2.64,Normal,,0.2,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.42,Normal,,0.4,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.45,0.43,Normal,,2,3.7,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.05,1.03,Normal,,28,,.4,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,52.9,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.82,1.80,Normal,,13.4,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.30,1.20,Normal,,4.2,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.30,1.77,Normal,,3.8,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.46,1.46,Normal,,3.2,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.67,0.67,Normal,,1.5,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,48.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,11.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.72,3.73,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.62,2.61,Normal,,0.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.42,1.40,Normal,,7.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.66,1.66,Normal,,2.2,,,
