River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
PM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,4.20,3.90,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.62,5.49,Normal,,1.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.22,12.07,Normal,,3.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.50,1.47,Normal,,4.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,1.00,Normal,,4.5,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.29,1.30,Normal,,6.,2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.89,0.89,Normal,,3.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.88,2.90,Normal,,3.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.70,8.71,Normal,,1.6,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.44,4.40,Normal,,11.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.54,4.50,Alert,Falling,1.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.00,7.00,Minor Flood,,1.8,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.33,3.33,Normal,,1.1,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.34,2.31,Normal,,3.4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.05,1.10,Normal,,2.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.26,4.23,Normal,,0.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.05,1.00,Normal,,4.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.52,0.51,Normal,,5.,7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.13,1.15,Normal,,1.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.28,1.26,Normal,,2.2,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.16,1.16,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.53,1.53,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.52,0.40,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.94,0.92,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.27,0.27,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.43,0.43,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.13,-3.13,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.93,1.88,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.45,Normal,,6.,9
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.52,0.53,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.98,2.98,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.74,0.73,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.17,4.18,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.92,3.92,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.90,3.92,Normal,,3.1,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.31,4.24,Normal,,6.,3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.15,3.09,Normal,,0.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.74,4.74,Minor Flood,,2.2,
