River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.80,2.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.30,3.31,Normal,,30.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.55,11.55,Normal,,45.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.95,1.70,Normal,,76.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.06,1.06,Normal,,41.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.47,1.32,Normal,,33.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.15,1.12,Normal,,33.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.40,1.45,Normal,,58.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.20,7.20,Normal,,60.4,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.28,4.18,Normal,,65.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.60,4.64,Alert,Rising,35.9,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.53,4.57,Normal,,74.6,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.96,3.09,Normal,,93.6,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.14,2.99,Normal,,59.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.83,0.86,Normal,,99.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.22,4.48,Normal,,58.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.80,1.73,Normal,,43.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.78,0.78,Normal,,44.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.82,0.82,Normal,,3.3,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,-0.04,-0.04,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.50,0.50,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.08,1.08,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.13,-0.13,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.57,0.57,Normal,,10.9,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.36,0.36,Normal,,3.3,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.19,0.19,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,-0.12,-0.10,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.05,-3.20,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.20,3.41,Normal,,18.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.96,1.87,Normal,,77.1,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.19,0.19,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.32,1.32,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.36,0.36,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.64,0.63,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.03,-0.03,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.31,0.31,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.36,2.39,Normal,,23.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.41,1.47,Normal,,32.4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.02,2.01,Normal,,27.4,
