"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 21st May 2025 at 0900hrs",,,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks",
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",,
"දකුණු පලාත
njd; khfhzk;
Southern",1,,Ambalangoda,Tree Fallen,"2025.05.19
2025.05.19
2025.05.18",2,5,,,,,2,,,,,,,
,,,Baddegama,Tree Fallen,,2,10,,,,,2,,1,,,,,
,,ගාල්ල,Welivita Divithura,Tree Fallen,,2,6,,,,,2,,,,,,,
,,"fhyp
Galle",Imaduwa,Tree Fallen,2025.05.19,2,6,,,,,2,,,,,,,
,,,Habaraduwa,Tree Fallen,2025.05.19,2,9,,,,,2,,,,,,,
,,,Elpitiya,Tree Fallen,2025.05.19,2,9,,,,,2,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,12,45,0,0,0,0,12,0,1,0,0,0,,
,2,,Katuwana,High Wind,2025.05.13-15,4,14,,,,,4,,,,,,,
,,හම්බනනතාට,Thissamaharama,Cutting Faliure,2025.05.05,2,6,,,,,1,,,,,,,
,,"`k;ghe;Njhl;il
Hambantota",Lunugamawehera,Lightning,2025.05.09,1,4,1,,,,,,,,,,,
,,,Thangalla,High Wind,2025.05.15,1,4,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,8,28,1,0,0,0,6,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,20,73,1,0,0,0,18,0,1,0,0,0,,
"වයඹ පලාත
tlNky; khfhzk;
North Western",3,පුත්තලම,Marawila,Drowning,2025.05.13,,,3,,1,,,,,,,,,
,,"Gj;jsk;
Puttalam",Chillaw,,2025.05.13,,,1,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,0,0,4,0,1,0,0,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,0,0,4,0,1,0,0,0,0,0,0,0,,
"උතුරු පලාත
tl khfhzk;
Northen",,,Delft,High Wind,2025.05.17,1,4,,,,,,1,1,,,,,
,,යාප ය,Karaveddi,High Wind,2025.05.19,1,3,,,,,1,,,,,,,
,4,aho;g;ghzk;,,High Wind,,2,7,,,,,2,,,,,,,
,,Jaffna,Chavakachcheri,Lightning,2025.05.18,1,3,,,,,1,,,,,,,
,,,Uduvil,High Wind,2025.05.19,1,2,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,6,19,0,0,0,0,5,1,1,0,0,0,,
,,කිලින ාච්චිය,,High Wind,2025.05.17,3,12,,,,,3,,,,,,,
,5,"fpspnehr;rp
Killinochchi",Kandawalai,Lightning,2025.05.08,1,2,,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,14,0,0,0,0,3,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,10,33,0,0,0,0,8,1,1,0,0,0,,
"ස්ත්‍බරගමුව පලාත
rg;ufKt
Sabaragamuwa",,"කෑගල්ල
Nffhiy
Kegalle",Bulathkohupitiya,High Wind/ Rain,2025.05.17,15,65,,,,,15,,3,,,,,
,,,,Tree Fallen,2025.05.17,2,9,,,,,2,,,,,,,
,,,Dehiovita,Collapase of wall,2025.05.18,1,4,,,,,1,,,,,,,
,,,,Tree Fallen,2025.05.17,3,11,,,,,3,,1,,,,,
,,,Kegalle,Rock fallen,2025.05.17,1,2,,,,,1,,,,,,,
,6,,Deraniyagala,High Wind,2025.05.17,4,17,,,,,4,,,,,,,
,,,,Lightning,2025.05.17,1,4,,,,,1,,,,,,,
,,,Warakapola,Tree Fallen,2025.05.17-18,4,17,,,,,4,,,,,,,
,,,Mawanella,Tree Fallen,2025.05.17,1,5,,,,,1,,,,,,,
,,,,Tree Fallen,2025.05.17-18,3,12,,,,,3,,,,,,,
,,,Galigamuwa,Lightning,2025.05.17,1,2,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,36,148,0,0,0,0,36,0,4,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,36,148,0,0,0,0,36,0,4,0,0,0,,
