දින්‍ය : 2026-04-15,,,,,
න්‍ගරය,උ්්ණත්වය(ප්‍රස. අංශ්‍ක),,සාප්‍රප්පක්් ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,35,25,95,55,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
මඩකලපුව,33,26,90,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
යකාළඹ,34,26,90,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
ගාල්ල,32,27,90,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
යාපනය,35,27,90,65,ප්‍රධ්‍ාන වශයයන් වැසි රහිත
මහනුවර,31,22,95,70,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
නුවරඑළිය,23,13,95,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
රත්නපුරය,34,24,95,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති යේ
ිකුණාමලය,35,25,95,60,ප්‍රධ්‍ාන වශයයන් වැසි රහිත
මන්නාරම,34,26,90,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
