River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12:00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.34,2.32,Normal,,0.5,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.00,5.96,Normal,,,,4.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.48,1.57,Normal,,16.2,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.05,3.94,Normal,,0.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,7.26,7.23,Minor Flood,Falling,0.1,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.21,2.25,Normal,,10.5,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.50,3.47,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.38,1.36,Normal,,0.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.58,4.54,Normal,,,2.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.95,0.93,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.23,0.24,Normal,,,,4.4,
