දිනය : 2026-06-10,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,26,90,60,වැසි සව් ල්පයක්
මඩකලපුව,35,27,85,50,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,30,26,90,75,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
ගාල්ල,29,25,90,80,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
යාපනය,32,27,85,70,ප්‍රධාන වශයයන් වැසි රහිත
ම නුවර,27,22,90,75,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
නුවරඑළිය,18,15,95,80,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
රත්නපුරය,31,24,95,75,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
ත්‍රිකුණාමලය,34,27,85,55,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,28,85,65,වැසි සව් ල්පයක්
