River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.20,3.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.82,5.79,Normal,,1.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.61,12.59,Normal,,5.9,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.88,Normal,,4.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.25,1.24,Normal,,0.3,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.63,1.67,Normal,,1,,8.5,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,1.00,Normal,,1.3,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.27,4.28,Minor Flood,Rising,38.8,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.50,10.51,Alert,Rising,,12.5,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.63,5.61,Alert,Falling,,14.7,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.32,4.28,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.72,8.72,Major Flood,,25.5,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.03,2.99,Normal,,0.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.73,4.72,Minor Flood,Falling,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.36,2.35,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.21,6.20,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.25,2.20,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.42,1.39,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.70,3.68,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.56,2.51,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.53,4.50,Minor Flood,Falling,0.0,,,
