River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF
in mm at
3.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.90,4.90,Alert,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,8.26,8.26,Minor Flood,,0.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,17.01,16.86,Minor Flood,Falling,0.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.32,2.50,Normal,,3.5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.98,1.91,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.99,1.95,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.96,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.91,2.93,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.05,9.07,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.60,5.50,Alert,Falling,0.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.42,5.30,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.35,7.40,Minor Flood,Rising,0.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.54,2.53,Normal,,0.0
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.91,1.91,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.01,1.04,Normal,,0.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.71,4.66,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.54,1.49,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.78,0.75,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,7.60,7.40,Minor Flood,Falling,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,4.47,4.20,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.09,5.09,Minor Flood,,0.0
