River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.95,1.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.03,3.05,Normal,,12.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.83,10.78,Normal,,32,.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,1.99,Normal,,13.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.79,0.79,Normal,,5.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.14,Normal,,26,.1
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.90,Normal,,12.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.54,2.56,Normal,,67.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.66,7.73,Normal,,26,.8
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.60,2.69,Normal,,17.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.77,2.76,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.10,7.09,Minor Flood,Falling,28,.6
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.72,3.77,Alert,Rising,41,.2
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.80,3.11,Normal,,43,.4
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.04,2.03,Minor Flood,Falling,36,.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.30,5.36,Alert,Rising,12.1,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.54,1.57,Normal,,14.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.40,1.51,Normal,,10.8,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.78,2.75,Normal,,0.0,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.68,2.68,Normal,,1.2,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.48,Normal,,4.5,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.85,3.00,Normal,,36,.6
