River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,2.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.40,3.36,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.79,10.77,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.79,1.89,Normal,,0.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.96,0.95,Normal,,1.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.79,0.73,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.10,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.17,2.15,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.78,6.67,Normal,,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.35,2.34,Normal,,,4.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.15,2.10,Normal,,2.1,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.08,4.98,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.80,2.75,Normal,,1,,,2.8
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.94,1.89,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.60,1.59,Alert,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.75,4.71,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.32,1.31,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.99,0.99,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.75,2.75,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.85,2.80,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.15,2.10,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.41,3.41,Normal,,,,8.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.23,2.30,Normal,,28.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.34,3.28,Normal,,0.0,,,
