දිනය : 2026-03-06,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,23,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,32,24,85,70,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,31,24,85,60,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,30,24,95,55,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,31,22,95,60,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,31,19,85,50,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,23,10,90,40,ප්‍රධාන වශයයන් වැසි රහිත
රත්නපුරය,35,22,85,40,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,31,23,90,65,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,31,23,85,65,ප්‍රධාන වශයයන් වැසි රහිත
