River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.85,3.80,Normal,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.43,5.36,Normal,,,4.2,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.52,11.56,Normal,,14.,,,,2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.92,Normal,,20.7,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.87,0.97,Normal,,,,7.5,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.27,1.27,Normal,,17.6,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.85,Normal,,,4.7,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.68,3.67,Alert,Falling,,2.7,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.49,9.47,Normal,,,,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.88,3.83,Normal,,12.,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.70,3.66,Normal,,16.4,,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.75,7.73,Minor Flood,Falling,20.5,,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.34,2.30,Normal,,13.,,,,4,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.58,3.56,Alert,Falling,11.,,,,4,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.11,1.11,Normal,,,4.7,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.32,4.33,Normal,,16.3,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.34,1.32,Normal,,17.5,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.50,0.53,Normal,,16.4,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.74,2.71,Normal,,0.8,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.45,1.42,Normal,,,,,9.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.79,3.71,Alert,Falling,11.,,,,8,
