River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
PM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.35,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.74,3.68,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.17,11.13,Normal,,22.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.86,1.86,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.84,0.82,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.14,1.11,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.77,1.00,Normal,,10,,.9
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.72,2.70,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.68,7.64,Normal,,,4.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.66,2.68,Normal,,11,,.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.70,2.68,Normal,,12,,.7
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.38,6.34,Alert,Falling,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.45,2.42,Normal,,9,,.8
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.94,4.92,Minor Flood,Falling,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.76,2.74,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.20,6.18,Minor Flood,Falling,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.96,1.95,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.12,1.11,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.16,3.11,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.74,1.68,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.88,2.85,Normal,,0.0,,
