RiverBasin,Tributory/River,GaugingStation,,,,,"Water
Levelat
5:00PM","Water
Levelat
6:00PM",Remarks,"Water
Level
Risingor
Falling","9HrRFin
mmat6:00
PM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
"KelaniGanga
(RB01)",KelaniGanga,NagalagamStreet,ft,4.00,5.00,7.00,2.70,2.70,Normal,,-,,,
,KelaniGanga,Hanwella,m,7.00,8.00,10.00,3.89,3.96,Normal,,1.7,,,
,KelaniGanga,Glencourse,m,15.00,16.50,19.00,12.25,12.25,Normal,,8.3,,,
,KelaniGanga,Kithulgala,m,3.00,4.00,6.00,2.18,2.09,Normal,,27.5,,,
,GurugodaOya,Holombuwa,m,3.00,3.40,5.00,0.85,0.89,Normal,,20.,,2,
,SeethawakaGanga,Deraniyagala,m,4.80,5.80,6.40,1.87,1.82,Normal,,28.1,,,
,KehelgamuOya,Norwood,m,1.50,3.00,4.50,0.93,0.90,Normal,,8.4,,,
"KaluGanga
(RB03)",KaluGanga,Putupaula,m,3.00,4.00,5.00,2.14,2.17,Normal,,0.6,,,
,KaluGanga,Ellagawa,m,10.00,10.70,12.20,8.15,8.18,Normal,,8.8,,,
,KaluGanga,Rathnapura,m,5.20,7.50,9.50,5.35,5.26,Alert,Falling,1.3,,,
,MaguruGanga,Magura,m,4.00,6.00,7.50,3.92,3.90,Normal,,0.0,,,
,KudaGanga,Kalawellawa(Millakanda),m,5.00,6.50,8.00,5.59,5.60,Alert,Rising,7.0,,,
"GinGanga
(RB09)",GinGanga,Baddegama,m,3.50,4.00,5.00,3.40,3.41,Normal,,0.0,,,
,GinGanga,Thawalama,m,4.00,6.00,7.50,2.78,2.78,Normal,,0.0,,,
"NilwalaGanga
(RB12)",NilwalaGanga,Thalgahagoda,m,1.40,1.70,2.80,1.19,1.21,Normal,,8.5,,,
,NilwalaGanga,Panadugama,m,5.00,6.00,7.50,4.95,4.94,Normal,,9.5,,,
,NilwalaGanga,Pitabeddara,m,4.00,5.00,6.50,1.49,1.49,Normal,,3.8,,,
,UrubokkaGanga,Urawa,m,2.50,4.00,6.00,0.85,0.84,Normal,,2.9,,,
"MahaOya
(RB102)",MahaOya,Badalgama,m,5.00,6.20,9.60,1.97,1.98,Normal,,5.1,,,
,MahaOya,Giriulla,m,5.50,6.50,7.50,1.07,1.09,Normal,,32.8,,,
"AttanagaluOya
(RB103)",AttanagaluOya,Dunamale,m,3.30,4.40,5.50,0.98,1.00,Normal,,1,3.7,,
