River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.20,3.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.79,5.69,Normal,,7.9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.82,12.66,Normal,,48.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.99,1.91,Normal,,16.5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.40,1.37,Normal,,63.3
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.17,1.18,Normal,,98.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.11,1.10,Normal,,33.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.82,2.81,Normal,,1.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.72,8.71,Normal,,4.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.96,4.90,Normal,,32.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.22,3.13,Normal,,14.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.65,6.63,Minor Flood,Falling,1.6
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.75,3.76,Alert,Rising,13.1
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.62,2.58,Normal,,41.7
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.01,2.01,Minor Flood,,17.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.18,6.14,Minor Flood,Falling,8.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.06,2.01,Normal,,16.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.38,1.36,Normal,,18.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.52,1.47,Normal,,40.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.75,1.70,Normal,,17.6
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.20,1.20,Normal,,18.9
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.05,2.04,Normal,,8.6
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.67,0.66,Normal,,43.1
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.11,1.10,Normal,,7.9
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.67,0.66,Normal,,10.6
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.37,0.37,Normal,,6.9
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.93,-0.94,Normal,,6.2
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.21,0.20,Normal,,6.2
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.77,-2.77,Normal,,40.3
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.99,2.99,Normal,,116.7
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.44,Normal,,39.5
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.79,0.76,Normal,,4.9
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.96,1.96,Normal,,0.5
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.46,0.46,Normal,,6.3
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.99,0.99,Normal,,29.4
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.51,0.46,Normal,,66.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.30,4.43,Normal,,105.1
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.05,4.03,Normal,,17.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.04,2.96,Normal,,12.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.08,5.10,Minor Flood,Rising,54.3
