Kukulegama(CEB),25.0
Halwathura (HMIS),NA
Anguruwathota (HMIS),NA
Dela (HMIS),NA
Magura (Baduraliya) (HMIS),NA
Malwala (HMIS),NA
Banagoda (HMIS),NA
Watapotha (HMIS),NA
Paragoda (HMIS),NA
