River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.80,3.65,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.20,6.07,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.75,12.63,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.22,2.22,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.48,1.45,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.97,0.96,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.49,1.51,Alert,Rising,2.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.53,2.53,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.68,8.69,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.95,5.82,Alert,Falling,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.11,3.97,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.14,6.05,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.48,3.52,Alert,Rising,29.4
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.50,2.51,Normal,,1.3
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.61,1.62,Alert,Rising,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.38,6.32,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.06,2.00,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.40,1.35,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,4.22,4.15,Minor Flood,Falling,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.25,4.23,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.78,4.75,Alert,Falling,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.78,4.64,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.69,3.61,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.71,5.17,Minor Flood,Falling,0.0
