Areas warned to be go under Effect of floods,,
,D/S Division,Grama Niladhari Division
01,Diwulapitiya,"Dunagaha, Sayakkaramulla, Henpitigedara, Dunagaha South, Batepola,
Aluthpola South, Thotillagahawatta, Katuwellegama South,
Katuwellegama North, Halgahawelawatta, Dagonna East, Dagonna North,
Dagonna South, Miriswatta, Kaluwarippuwa South, Kandawala South"
02,Mirigama,"Pohonnaruwa, Tilinagama, Idiparape, Imbulanwala, Ganegoda, Hiriwala,
Elhena, Bokalagama, Pahala Bokalagama, Kukulnape, Pallewela,
Midellawala, Weragoda, Borukgamuwa, Kandelanda, Galgamuwa East,
Kumbaloluwa, Galgamuwa West, Delgaha Midella, Pahala Kumbaloluwa,
Panawala, Motunna, Motunna West"
03,Attanagalla,"Athaudakanda, Karasnagala, Karasnagala South, Welkandamulla,
Palkumbura, Pelpita, Wandurumulla, Walaliyadda, HApandeniya, Urapola,
Nagoda, Bopeththa, Bopeththa South, Aruppasa, Kurawalana, Hunupola,
Pannila, Kumburagolla, Undugoda, Kahatoita, Undugoda West, Kahatoita
West, Ogodapola, Ogodapola North, Paranagama, Opatera, Dematalanda,
Kahambilihena, Udathuttiripitiya, Bopegama, Mee wewa West, Matalana,
Matalana North, Matalana East, Mee Wewa, Bogoda, Nambadaluwa East,
Madugedara, Wathupitiwala, Yatiyana, Ocharawatta South, Malwatta,
Tihariya North, Kattota, Tihariya East, Tihariya South, Pahala Tihariya,
Mangalatiriya, Tihariya West, Kalagedihena, Bogamuwa, Bogamuwa
North, Werangala, Werangala South, Mattegoda, Ambagaspitiya,
Bogamuwa South, Pahipalagoda,, Morenna, Humbutiyawa West, Motunna"
