දිනය : 2026-04-24,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,25,95,55,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති තේ
මඩකලපුව,33,26,95,70,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
තකාළඹ,34,26,90,60,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ගාල්ල,32,26,95,70,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති තේ
යාපනය,35,27,95,55,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ම නුවර,32,23,95,65,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති තේ
නුවරඑළිය,22,13,95,75,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති තේ
රේනපුරය,34,24,95,60,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති තේ
ත්‍රිකුණාමලය,35,26,90,55,ප්‍රධාන වශතයන් වැසි රහිත
මන්නාරම,34,27,90,55,සවස 2.00න් පසුව වැසි ත ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
