River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
2
Level
Rising or
Falling","4 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.70,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.65,4.66,Normal,,91.9
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.86,11.86,Normal,,90.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.55,1.25,Normal,,61.6
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.76,1.68,Normal,,62.9
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.95,0.97,Normal,,106.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.67,0.67,Normal,,15.3
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.96,1.98,Normal,,31.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.10,7.18,Normal,,71.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.02,3.05,Normal,,34.2
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.60,4.67,Alert,Rising,28.4
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.67,5.75,Alert,Rising,94.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.21,3.25,Normal,,79.2
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.48,2.55,Normal,,43.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.07,1.07,Normal,,49.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.40,4.38,Normal,,44.2
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.20,1.16,Normal,,36.9
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.40,0.39,Normal,,28.7
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.05,1.05,Normal,,1.1
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.70,0.69,Normal,,2.1
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.89,0.89,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.35,1.35,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.17,Normal,,0.6
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.05,1.04,Normal,,20.8
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.77,0.76,Normal,,34.1
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.68,0.67,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.81,0.78,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.28,-2.08,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.40,1.39,Normal,,7.7
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.06,1.04,Normal,,25.8
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.50,0.49,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.53,2.50,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.60,0.60,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.61,2.53,Normal,,13.4
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.41,0.48,Normal,,36.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.15,1.25,Normal,,91.2
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.59,3.61,Normal,,103.5
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.70,2.75,Normal,,101.5
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.46,4.48,Minor Flood,Rising,155.3
