ප්‍රධාන්‍ න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 6 - 0 1 -12,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,22,95,85,විටින විට වැසි
මඩකලපුව,28,24,95,80,විටින විට වැසි
ගකාළඹ,30,23,90,70,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ොල්ල,30,24,95,70,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
යාපනය,29,23,95,80,විටින විට වැසි
මහනුවර,29,20,95,80,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,17,13,95,75,විටින විට වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
රත්නපුරය,31,23,95,70,සවස 2.00න පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති ගේ
ිකුණාමලය,29,23,95,80,විටින විට වැසි
මනනාරම,28,24,95,80,විටින විට වැසි
