River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.20,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.66,3.61,Normal,,11.7
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.29,11.29,Normal,,14.1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.25,2.40,Normal,,9.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.20,Normal,,13.2
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.89,0.91,Normal,,10.7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.01,1.01,Normal,,9.7
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.01,2.02,Normal,,5.2
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.85,7.84,Normal,,10.3
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.59,3.50,Normal,,9.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.69,3.58,Normal,,12.7
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.66,5.66,Alert,,24.3
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.40,3.40,Normal,,28.2
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.82,2.78,Normal,,14.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.36,1.36,Normal,,40.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.30,5.23,Alert,Falling,41.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.48,1.49,Normal,,18.5
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.00,0.98,Normal,,21.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.10,2.09,Normal,,8.8
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.42,1.39,Normal,,5.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.12,1.12,Normal,,2.5
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.85,1.84,Normal,,3.7
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.88,0.88,Normal,,3.8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.13,1.12,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.73,Normal,,0.2
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.77,0.76,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.13,0.12,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.27,1.26,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.70,-1.89,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.42,3.38,Normal,,2.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.56,1.57,Normal,,20.4
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.67,0.70,Normal,,10.8
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.92,3.90,Normal,,2.9
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.26,1.25,Normal,,9.5
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.09,4.03,Normal,,4.2
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.46,0.46,Normal,,0.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.45,1.45,Normal,,1.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.28,3.25,Normal,,27.2
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.02,2.02,Normal,,3.9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.20,3.20,Normal,,28.6
