ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -25,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,30,22,95,65,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,30,24,90,80,වැසි සව් ල්පයක්
යකාළඹ,32,23,85,55,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,29,24,95,75,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,23,80,70,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,30,19,90,65,ප්‍රධාන වශයයන් වැසි රහිත
නුවරඑළිය,22,09,95,60,වැසි සව් ල්පයක්
රත්නපුරය,34,22,95,55,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,28,23,95,75,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,30,25,90,75,FALSE
