River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 am","Water
Level at
03:00 am",Remarks,"Water Level
Rising or
Falling","15 Hr RF
in mm at
3:00am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.60,1.57,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.99,5.94,Normal,,,0.5
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.78,1.75,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.80,2.77,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.50,5.49,Alert,Falling,3.3,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.57,2.53,Normal,,0.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.28,4.28,Minor Flood,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.30,2.35,Minor Flood,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.62,6.59,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.90,1.90,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.68,0.65,Normal,,0.0,
