River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water Level
Rising or
Falling","18 Hr RF
in mm at
3:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,3.20,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.17,5.20,Normal,,,38.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.70,13.57,Normal,,,56.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,,30.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.60,1.34,Normal,,,46.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.78,1.73,Normal,,94.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.03,Normal,,12.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.11,2.17,Normal,,,66.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.88,8.97,Normal,,146.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.25,6.19,Alert,Falling,161.6,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,6.29,6.27,Minor Flood,Falling,154.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.11,6.22,Alert,Rising,102.,,6
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,4.96,4.76,Alert,Falling,104.,,5
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.67,3.71,Alert,Rising,111.,,7
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.15,1.16,Normal,,16.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.67,5.70,Alert,Rising,,80.2,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.40,2.30,Normal,,,68.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.27,1.22,Normal,,,40.5,
