River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
05:00 am","Water
Level at
06:00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
06:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.40,3.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.14,6.08,Normal,,4,8.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.27,13.09,Normal,,7,2.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.65,1.64,Normal,,5,5.4,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.34,1.31,Normal,,3,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.32,1.28,Normal,,85.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.85,Normal,,3,2.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.75,2.80,Normal,,5,9.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.53,8.53,Normal,,7,1.3,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.60,4.52,Normal,,3,2.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.29,5.18,Alert,Falling,6,3.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.10,7.18,Minor Flood,Rising,118.2,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.89,3.91,Alert,Rising,6,4.4,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.50,2.74,Normal,,6,2.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.46,1.47,Alert,Rising,3,5.1,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.65,5.60,Alert,Falling,3,5.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.72,1.70,Normal,,5,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.88,0.71,Normal,,3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.00,1.99,Normal,,6.1,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.63,0.62,Normal,,3.1,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.86,0.86,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.34,1.35,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,2.6,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.96,0.96,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.62,0.62,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.52,0.52,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.93,0.95,Normal,,1.2,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.94,-2.10,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.22,2.13,Normal,,14.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.40,Normal,,3,5.2,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.45,0.44,Normal,,0.1,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.70,4.70,Normal,,7,4.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.15,4.11,Normal,,3,4.3,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.16,3.11,Normal,,5,6.4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.90,4.88,Minor Flood,Falling,4,3.5,
