River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
9
Level
m
Rising or
Falling","Hr RF in
m at 6.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.70,3.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.72,5.74,Normal,,7.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.42,13.52,Normal,,14.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.45,2.04,Normal,,35.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.51,1.51,Normal,,14.6,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.70,2.46,Normal,,20.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.39,1.37,Normal,,10.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.78,2.80,Normal,,4.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.90,8.91,Normal,,13.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.14,6.10,Alert,Falling,16.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.68,4.68,Alert,,7.6,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.71,6.72,Minor Flood,Rising,9.6,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.75,3.75,Alert,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.84,3.87,Normal,,28.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.51,1.52,Alert,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.94,5.93,Alert,Falling,9.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.47,2.45,Normal,,2.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.50,1.47,Normal,,7.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.54,1.53,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.40,0.38,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.63,0.63,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.18,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.76,0.76,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.45,0.45,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.39,0.39,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.14,0.14,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.12,-3.13,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.18,3.30,Normal,,5.4,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.45,2.39,Normal,,18.9,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.33,0.33,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.69,1.69,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.14,1.13,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.38,0.36,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.46,2.44,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.51,3.48,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.27,2.20,Normal,,2.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.48,3.45,Alert,Falling,3.8,
