දිනය : 2026-03-11,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,22,95,55,වැසි සව් ල්පයක්
මඩකලපුව,31,24,90,70,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,33,23,90,60,ප්‍රධාන වශයයන් වැසි රහිත
ගාල්ල,32,24,85,60,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,31,22,95,60,වැසි සව් ල්පයක්
මහනුවර,31,16,95,45,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,21,7,90,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,23,95,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,32,24,95,65,වැසි සව් ල්පයක්
මන්නාරම,32,24,90,60,වැසි සව් ල්පයක්
