දිනය : 2026-02-02,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,22,95,70,වැසි වාර කිහිපයක්
මඩකලපුව,28,23,95,85,වැසි වාර කිහිපයක්
කකාළඹ,30,23,90,65,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති කේ
ගාල්ල,30,24,95,80,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති කේ
යාපනය,29,23,95,70,වැසි වාර කිහිපයක්
ම නුවර,31,20,95,75,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
නුවරඑළිය,22,9,95,85,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති කේ
රත්නපුරය,33,22,95,60,සවස 2.00න් පසුව වැසි ක ෝ ගිගුරුම් සහිත වැසි ඇති කේ
ත්‍රිකුණාමලය,29,24,95,80,වැසි වාර කිහිපයක්
මන්නාරම,29,24,90,80,වැසි සව් ල්පයක්
