River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
6:00 pm","Water
Level at
9:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.60,1.50,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.68,3.78,Normal,,40.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.75,11.85,Normal,,25,,,.9,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.79,Normal,,25,,,.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.95,0.95,Normal,,25,,,.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.98,1.96,Normal,,42.5,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.75,0.77,Normal,,,,16.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.05,2.07,Normal,,3.8,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.55,7.60,Normal,,49.3,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.13,4.27,Normal,,22,,,.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.97,3.97,Normal,,,9.9,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.54,5.56,Alert,Rising,,9.5,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.92,3.74,Normal,,39.5,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.77,3.79,Alert,Rising,,9.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.44,1.46,Alert,Rising,32,,,.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.32,6.35,Minor Flood,Rising,39.3,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.96,2.88,Normal,,29,,,.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.92,1.87,Normal,,27,,,.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.70,2.72,Normal,,26,,,.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.47,Normal,,25,,,.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.63,3.65,Alert,Rising,28,,,.5,
