River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.10,1.10,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.70,3.80,Normal,,22,.1,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.30,12.20,Normal,,34.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.03,2.01,Normal,,25,.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,0.89,Normal,,2.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.48,1.38,Normal,,20,.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.82,Normal,,9.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.50,1.47,Normal,,5.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.55,7.58,Normal,,44.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,5.89,5.75,Alert,Falling,45.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.02,2.96,Normal,,2.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.81,4.86,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.96,2.97,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.29,2.29,Normal,,2.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.02,1.02,Normal,,2.7,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.36,4.33,Normal,,2.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.34,1.33,Normal,,7.6,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.35,0.34,Normal,,0.6,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.83,0.83,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.40,0.40,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.67,0.67,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.14,1.14,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.18,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.60,0.60,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.40,0.39,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.02,0.02,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.16,-0.16,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.07,3.18,Normal,,6.9,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.95,1.91,Normal,,21,.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.18,0.17,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.30,1.30,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.06,0.06,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.30,2.30,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.19,1.20,Normal,,1.5,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.78,1.78,Normal,,2.4,,
