River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
6
Level
m
Rising or
Falling","Hr RF in
m at 3:00
PM"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.70,1.80,Normal,,-
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.72,5.14,Normal,,6.1
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,15.04,15.26,Alert,Rising,23.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.86,2.65,Normal,,41.8
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,3.25,3.10,Alert,Falling,38.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,4.03,3.61,Normal,,60.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.21,2.27,Alert,Rising,52.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.67,1.77,Normal,,3.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.76,7.89,Normal,,35.6
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.84,6.86,Alert,Rising,25.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.19,5.29,Alert,Rising,47.3
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.57,5.65,Alert,Rising,11.7
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.24,3.32,Normal,,4.6
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.06,5.14,Alert,Rising,19.7
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.84,0.90,Normal,,14.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.52,5.65,Alert,Rising,26.6
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.00,3.05,Normal,,19.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.67,1.70,Normal,,19.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.71,0.74,Normal,,9.6
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.08,1.08,Normal,,2.9
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.97,0.97,Normal,,1.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.97,0.97,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.18,0.18,Normal,,0.5
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.17,-0.17,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.95,-2.95,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.94,7.00,Minor Flood,Rising,37.5
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.98,3.50,Alert,Falling,51.1
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.21,0.23,Normal,,4.1
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.76,1.76,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,1.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.60,0.62,Normal,,31.1
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.34,0.36,Normal,,57.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.24,-0.24,Normal,,0.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.94,1.95,Normal,,16.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.39,1.66,Normal,,74.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.66,2.72,Normal,,13.7
