දිනය : 2026-03-25,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,23,90,45,ප්‍රධාන වශවයන් වැසි රහිත
මඩකලපුව,31,25,85,65,ප්‍රධාන වශවයන් වැසි රහිත
වකාළඹ,33,26,90,65,ප්‍රධාන වශවයන් වැසි රහිත
ගාල්ල,33,26,90,65,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,23,90,55,ප්‍රධාන වශවයන් වැසි රහිත
මහනුවර,33,19,95,45,ප්‍රධාන වශවයන් වැසි රහිත
නුවරඑළිය,22,10,85,35,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රත්නපුරය,36,24,95,50,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ත්‍රිකුණාමලය,32,25,85,55,ප්‍රධාන වශවයන් වැසි රහිත
මන්නාරම,33,23,90,65,ප්‍රධාන වශවයන් වැසි රහිත
