,,"ය
ක
ක්
ි
සර
දි",,,,"ව
ා
ය
ඛ්‍
ාං
ස
.
ේ
ල
.
ා
ප්‍ර",,,,"ව
ා
ද
ප
ආ",,,,,"ේ
වු
ප
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,,,"න්
යි
ල
ග
ද්
පු
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,,"ම්
ෑ
ය
ය
මි",,"න්
ය
ල
ග
ද්
පු
ූ
ල
ා
ව
තු",,,"න්
හ
ද
රු
තු
අ",,,"නි
ා
හ
ස
ා
ව
නි
ණ
ර්
පූ",,,,"නි
ා
හ
ස
ා
ව
නි
ධ
ර්
අ",,,,"ව
ා
ය
ඛ්‍
ාං
ස
න
ා
ථ
සර
ත
ක්‍ෂි
ර
ආ",,,,"ව
ා
ය
ඛ්‍
ාං
ස
ේ
වු
ප",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ල
ග
ද්
පු",,,,"න
ටි
සි
ල
ව
සර
ව
ව
ල
නි
ති
ා
ඥ","ේ
වු
ප",,,"න
ටි
සි
ල
ව
සර
ව
ව
ල
නි
ති
ා
ඥ","න්
යි
ල
ග
ද්
පු",
ගම්පහ,,,,,13,,,"ගංවතුර / තද
වර්ෂාපතනය
/ දැඩි සුළං /
නාය යාම්",,,,,39742,,,,,161383,,,,,2,,1,,,,,,4,,,160,,,,,16,,,925,,,,,4179,,,,,265,,,,1091,,,
රත්තනපුර,,,,,07,,,,,,,,1347,,,,,5368,,,,,3,,1,,,,,,5,,,479,,,,,10,,,62,,,,,217,,,,,529,,,,2306,,,
ලකාළඹ,,,,,09,,,,,,,,11033,,,,,46032,,,,,1,,,,,,,,,,,22,,,,,32,,,2461,,,,,10968,,,,,,,,,,,,
පුත්තතලම,,,,,13,,,,,,,,6591,,,,,25016,,,,,1,,,,,1,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,
කළුතර,,,,,12,,,,,,,,766,,,,,2960,,,,,1,,,,,,,,2,,,46,,,,,10,,,45,,,,,161,,,,,,,,,,,,
නුවරඑළිය,,,,,01,,,,,,,,67,,,,,290,,,,,,,,,,,,,,,,,,,,,1,,,10,,,,,44,,,,,,,,,,,,
කෑගේල,,,,,11,,,,,,,,110,,,,,475,,,,,5,,,,,,,,3,,,49,,,,,3,,,17,,,,,89,,,,,,,,,,,,
මහනුවර,,,,,04,,,,,,,,10,,,,,35,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
කුරුණෑගල,,,,,13,,,,,,,,1008,,,,,3653,,,,,0,,0,,,1,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
ගාේල,,,,,01,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,එකතුව,,,,,84,,,,,,,,60674,,,,,245212,,,,,14,,2,,,2,,,14,,,817,,,,,72,,,3520,,,,,15658,,,,,794,,,,3397,,
