River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.05,0.75,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.67,1.72,Normal,,5.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.47,10.72,Normal,,48.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.61,3.10,Alert,Rising,100.5
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.90,1.10,Normal,,10.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.10,2.36,Normal,,87.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.89,1.24,Normal,,36.1
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.93,0.90,Normal,,5.9
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.32,6.42,Normal,,4.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.21,4.46,Normal,,33.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.34,3.65,Normal,,31.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.85,3.90,Normal,,27.2
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.01,3.00,Normal,,61.4
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.37,2.41,Normal,,22.7
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.12,1.13,Normal,,70.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.51,5.61,Alert,Rising,82.3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.90,2.80,Normal,,124.4
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.61,1.65,Normal,,83.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.90,0.89,Normal,,4.2
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.54,0.50,Normal,,1.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.73,0.72,Normal,,8.6
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.13,1.12,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.09,-0.09,Normal,,3.8
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.03,1.02,Normal,,13.4
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.33,0.33,Normal,,1.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.44,0.42,Normal,,9.9
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.93,-0.93,Normal,,25.7
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.21,0.21,Normal,,25.7
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.80,-2.80,Normal,,5.0
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.90,3.40,Normal,,12.4
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.82,4.67,Alert,Rising,108.3
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.59,0.59,Normal,,0.9
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.22,1.20,Normal,,43.1
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.74,1.72,Normal,,3.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.36,0.35,Normal,,9.8
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.92,0.92,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.02,0.02,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.00,1.00,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.13,2.13,Normal,,5.6
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.08,1.09,Normal,,8.4
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.36,0.36,Normal,,10.6
