"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 23rd ovember 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"උතුරු පලොත tl
khfhzk; Northen",1,,,,2025.11.16,3,10,,,,,3,,,,,,
,,,Velanai,,2025.11.18,1,3,,,,,1,,,,,,
,,,,,2025.11.18,3,9,,,,,,,,,,,
,,යොප ය,Uduvil,Flood & High wind,2025.11.17,4,14,,,,,2,,,,,,
,,"aho;g;ghzk ;
Jaffna",Chankanai,,2025.11.18,5,13,,,,1,,,,,,,
,,,Kayts,,2025.11.18,15,61,,,,,,,,,,,
,,,Sandilipay,,2025.11.18,6,21,,,,,,,,,,,
,,,Jaffna,,2025.11.18,27,93,,,,,,,,,,,
,,,Maruthankery,High wind,2025.11.21,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,65,227,0,0,0,1,7,0,0,0,0,0,
,2,"කිලින ොච්චිය
fpspnehr;rp
Killinochchi",Seddiyarkurichchim,Flood,2025.11.16,1,7,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,7,0,0,0,0,1,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,66,234,0,0,0,1,8,0,0,0,0,0,
"බස්ත්‍ර ොහිර පලොත
Nky; khfhzk
Western",3,"කළුතර
fSj;Jiw
Kalutara",Kalutara,Flash flood,2025.11.17,73,293,,,,,,,,,,,
,,,Beruwala,Lightning,2025.11.18,2,4,,,,,2,,,,,,
,,,Bandaragama,Lightning,2025.11.21,,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,75,297,0,0,0,1,2,0,0,0,0,0,
,4,"ගම්පහ
fk;g`h
Gampaha",Kelaniya,Tree Fallen,2025.11.,3,15,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3,15,0,0,0,0,3,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,78,312,0,0,0,1,5,0,0,0,0,0,
