River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.30,1.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.49,2.47,Normal,,0.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.68,10.65,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.95,2.00,Normal,,25.3,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.63,0.52,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.11,1.12,Normal,,,8.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.85,0.82,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.83,2.76,Normal,,1.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.63,6.52,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.85,1.84,Normal,,2.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.74,2.78,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.33,6.30,Alert,Falling,0.7,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.90,1.92,Normal,,2.3,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.27,2.29,Normal,,0.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.59,0.59,Normal,,0.8,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.41,3.48,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.00,0.99,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.33,0.35,Normal,,1,,2.2
