River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 p.m.",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
p.m.",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.90,2.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.62,3.79,Normal,,4,0.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.61,11.76,Normal,,4,0.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.52,1.70,Normal,,25.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.54,1.69,Normal,,15.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.95,0.97,Normal,,4,7.6
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.67,0.67,Normal,,7.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.28,1.30,Normal,,19.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.30,5.31,Normal,,12.8,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.60,1.61,Normal,,7.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.63,3.96,Normal,,7.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.59,4.68,Normal,,4,1.3
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.50,2.53,Normal,,31.7,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.90,2.92,Normal,,18.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.77,0.80,Normal,,25.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.16,3.32,Normal,,11.4,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.19,1.21,Normal,,7.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.33,0.42,Normal,,13.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.98,1.02,Normal,,2.8,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.80,0.76,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,1.40,1.35,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.09,-2.12,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.90,1.90,Normal,,3.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.96,1.00,Normal,,9.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.54,0.53,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.36,2.36,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.69,0.68,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.01,1.01,Normal,,25.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.01,3.04,Normal,,21.1,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.96,2.03,Normal,,20.6,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.94,3.98,Alert,Rising,89.8,
