පළොත,ජනවොරි 08,,,ජනවොරි 09,,,ජනවොරි 10,,
උතුර,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,,,විටින් විට ෙැ.කි.මි.(60-,,,විටින් විට ෙැ.කි.මි.(60-70),
,,,,,70) ෙමණ දක්වා වන ඉතා,,,ෙමණ දක්වා වන ඉතා තද,
,,,,,තද සුළං,,,සුළං,
උතුරු-මැද,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,,,විටින් විට ෙැ.කි.මි.(50-,,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,
,,,,,60) ෙමණ දක්වා වන තද,,,,
,,,,,සුළං,,,,
නැකගනහිර,,,,,විටින් විට ෙැ.කි.මි.(60-,,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,
,,විටින් විට ෙැ.කි.මි.(50-60),,,70) ෙමණ දක්වා වන ඉතා,,,,
,,ෙමණ දක්වා වන තද සුළං,,,තද සුළං,,,,
සබරගමුව,"විටින් විට ෙැ.කි.මි.(40-50)
ෙමණ දක්වා වන තද සුළං",විටින් විට ෙැ.කි.මි.(40-50),,"විටින් විට ෙැ.කි.මි.(30-
40) ෙමණ දක්වා වන සුළං",විටින් විට ෙැ.කි.මි.(30-,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං",,
,,ෙමණ දක්වා වන තද සුළං,,,40) ෙමණ දක්වා වන සුළං,,,,
බස්නාහිර,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,,,විටින් විට ෙැ.කි.මි.(50-,,"ෙැ.කි.මි.(40-50) ෙමණ දක්වා
වන තරමක තද සුළං",,
,,,,,60) ෙමණ දක්වා වන තද,,,,
,,,,,සුළං,,,,
දකුණ,,,,"විටින් විට ෙැ.කි.මි.(30-
40) ෙමණ දක්වා වන සුළං",,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං",,
,,විටින් විට ෙැ.කි.මි.(30-40),,,,,,,
,,ෙමණ දක්වා වන සුළං,,,,,,,
ඌව,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",විටින් විට ෙැ.කි.මි.(50-60),,,ෙැ.කි.මි.(40-50) ෙමණ,,"විටින් විට ෙැ.කි.මි.(30-40)
ෙමණ දක්වා වන සුළං",,
,,ෙමණ දක්වා වන තද සුළං,,,දක්වා වන තරමක තද,,,,
,,,,,සුළං,,,,
වයඹ,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,,,විටින් විට ෙැ.කි.මි.(50-,,"ෙැ.කි.මි.(40-50) ෙමණ දක්වා
වන තරමක තද සුළං",,
,,,,,60) ෙමණ දක්වා වන තද,,,,
,,,,,සුළං,,,,
මධ්‍යම,"විටින් විට ෙැ.කි.මි.(50-60)
ෙමණ දක්වා වන තද සුළං",,,,විටින් විට ෙැ.කි.මි.(60-,,"ෙැ.කි.මි.(40-50) ෙමණ දක්වා
වන තරමක තද සුළං",,
,,,,,70) ෙමණ දක්වා වන ඉතා,,,,
,,,,,තද සුළං,,,,
