River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.10,3.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.07,5.98,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.75,13.48,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.03,1.88,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.91,0.90,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.34,1.34,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.63,1.60,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.14,8.12,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.10,4.00,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.54,1.53,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.57,3.55,Normal,,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.48,1.46,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.68,1.70,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.47,1.47,Alert,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.87,4.84,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.42,1.42,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.02,1.01,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.26,4.30,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,6.01,6.02,Minor Flood,Rising,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,8.23,8.28,Minor Flood,Rising,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,5.90,5.38,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.40,3.36,Alert,Falling,0.0
