,,"ය
ක
ක්
ි
සර
දි",,,,"ව
ා
ය
ඛ්‍
ාං
ස
.
ේ
ල
.
ා
ප්‍ර",,,,"ව
ා
ද
ප
ආ",,,,,"ේ
වු
ප
ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ",,,,,"ූ
ක්
ල
ට
ම
ෑ
ප
ල
බ","න්
යි
ල
ග
ද්
පු",,,,"ම්
ෑ
ය
ය
මි",,,"න්
ය
ල
ග
ද්
පු
ූ
ල
ා
ව
තු",,,"න්
හ
ද
රු
තු
අ",,"නි
ා
හ
ස
ා
ව
නි
ණ
ර්
පූ",,,,"නි
ා
හ
ස
ා
ව
නි
ධ
ර්
අ",,,,"න
ා
ථ
රස
ත
ක්‍ෂි
ර
ආ",,"ව
ා
ය
ඛ්‍
ාං
ස",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ේ
වු
ප",,,,,"ව
ා
ය
ඛ්‍
ාං
ස
ල
ග
ද්
පු",,,,"න
ටි
සි
ල
ව
රස
ව
ල
නි
ති
ා
ඥ","ේ
වු
ප",,,"ල
ව
රස
ව
ව
ල
නි
ති
ා
ඥ","න්
යි
ල
ග
ද්
පු
න
ටි
සි",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ත
ි
න්
ාය
ක්‍රි",,,"න
ළ
ාප",,,,,,,,,,,,,,,,,,,
ගම්පහ,,,,,13,,,"ගංවතුර /
තද
වර්ෂාපත
නය /
දැඩි සුළං
/ නාය
යාම්",,,,,39742,,,,,161383,,,,,,3,,,1,,,,,4,,,168,,,,,16,,,2,,,1166,,,,,5011,,,,,361,,,,1450,,,
රත්තනපුර,,,,,8,,,,,,,,1427,,,,,5614,,,,,,3,,,1,,,,,6,,,487,,,,,9,,,,,,56,,,,,209,,,,,693,,,,2673,,,
ලකාළඹ,,,,,9,,,,,,,,16156,,,,,65342,,,,,,1,,,,,,,,,,,29,,,,,47,,,5,,,4872,,,,,21295,,,,,,,,,,,,
පුත්තතලම,,,,,14,,,,,,,,7748,,,,,29049,,,,,,2,,,,,,1,,,,,51,,,,,3,,,8,,,21,,,,,89,,,,,4592,,,,18580,,,
කළුතර,,,,,14,,,,,,,,1150,,,,,4476,,,,,,1,,,2,,,1,,2,,,59,,,,,10,,,,,,48,,,,,183,,,,,,,,,,,,
නුවරඑළිය,,,,,1,,,,,,,,70,,,,,301,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,,5,,,,,,,,,,,,
කෑගේල,,,,,11,,,,,,,,253,,,,,1059,,,,,,5,,,,,,,,3,,,121,,,,,3,,,,,,12,,,,,54,,,,,54,,,,229,,,
මහනුවර,,,,,4,,,,,,,,10,,,,,35,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
කුරුණෑගල,,,,,13,,,,,,,,1008,,,,,3653,,,,,,0,,,0,,,1,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ගාේල,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,එකතුව,,,,,88,,,,,,,,67564,,,,,270912,,,,,,16,,,5,,,3,,15,,,935,,,,,104,,,,,,6176,,,,,26846,,,,,5700,,,,22932,,
