River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.70,1.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.15,3.09,Normal,,5,5.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.51,10.45,Normal,,21.9,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.60,1.60,Normal,,18.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.80,Normal,,18.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.71,0.73,Normal,,6.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.93,0.93,Normal,,13.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.04,1.98,Normal,,98.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.20,7.15,Normal,,5,1.2,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.51,2.43,Normal,,32.5,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.71,4.58,Alert,Falling,27.2,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.71,5.71,Alert,,110.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.81,2.79,Normal,,18.7,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.95,1.92,Normal,,28.6,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.09,1.13,Normal,,4,4.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.69,4.64,Normal,,12.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.70,1.65,Normal,,26.3,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.24,1.18,Normal,,26.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.92,1.90,Normal,,1.1,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.97,1.96,Normal,,3.7,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.20,1.20,Normal,,0.5,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.30,2.20,Normal,,0.7,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.62,0.64,Normal,,7.3,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.45,1.44,Normal,,1.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.05,1.03,Normal,,4.3,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.93,0.92,Normal,,1.6,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.54,0.55,Normal,,5.9,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.68,1.69,Normal,,5.9,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.17,-1.18,Normal,,7.8,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.40,2.68,Normal,,0.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.18,1.17,Normal,,0.0,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.78,0.77,Normal,,16.2,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.18,2.26,Normal,,8.8,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.76,0.74,Normal,,22.4,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.76,1.76,Normal,,3.1,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.47,0.47,Normal,,3.8,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.25,1.21,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.52,3.47,Normal,,17.4,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.15,2.08,Normal,,26.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.63,2.58,Normal,,5.0,,
