River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6:00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.40,1.30,Normal,,-
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.45,1.40,Normal,,16.4
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,9.52,9.47,Normal,,3.7
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.95,1.90,Normal,,7.8
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.45,0.44,Normal,,3.1
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.77,0.93,Normal,,8.3
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.54,0.53,Normal,,0.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.95,0.97,Normal,,2.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.95,4.95,Normal,,6.8
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.53,1.58,Normal,,7.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.44,3.46,Normal,,6.4
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.41,4.41,Normal,,15.4
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.42,2.38,Normal,,2.0
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.85,1.89,Normal,,12.8
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.42,0.42,Normal,,5.6
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.97,2.97,Normal,,20.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.70,0.69,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.13,0.12,Normal,,4.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.62,0.62,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.05,1.05,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.02,1.02,Normal,,4.7
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.99,0.99,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.7
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.57,0.57,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.15,0.15,Normal,,1.4
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,4.7
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.18,-0.18,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.94,-2.95,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.05,2.00,Normal,,0.5
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.13,1.14,Normal,,3.1
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.18,0.15,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.82,1.81,Normal,,76.2
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,23.5
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.42,0.42,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.06,-0.06,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.26,-0.26,Normal,,3.6
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.88,1.87,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.86,0.86,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.16,1.26,Normal,,0.0
