River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.30,3.20,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.02,6.12,Normal,,5.3,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.62,14.55,Normal,,7.7,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.57,2.49,Normal,,8.8,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.94,1.72,Normal,,,,2.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.15,2.07,Normal,,,,4.1,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.17,1.15,Normal,,,,3.6,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.97,3.00,Alert,Rising,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.84,9.86,Normal,,,,3.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.59,6.50,Alert,Falling,,,4.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.80,5.72,Alert,Falling,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.61,7.67,Minor Flood,Rising,0.6,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.58,2.50,Normal,,6.3,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.03,4.02,Minor Flood,Falling,0.0,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.32,1.33,Normal,,,,2.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.01,5.01,Alert,,5.6,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.16,1.12,Normal,,,1.5,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.41,0.40,Normal,,,1.6,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.58,3.60,Alert,Rising,0.0,,,,
