දින්‍ය : 2026-03-09,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,22,90,40,ප්‍රධාන වශතයන් වැසි රහිත
මඩ ලපුව,32,25,90,60,ප්‍රධාන වශතයන් වැසි රහිත
ත ාළඹ,32,24,90,60,ප්‍රධාන වශතයන් වැසි රහිත
ගාල්ල,31,25,90,70,සවස 2.00න් පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැ
යාපනය,33,22,90,50,ප්‍රධාන වශතයන් වැසි රහිත
මහනුවර,32,17,90,40,ප්‍රධාන වශතයන් වැසි රහිත
නුවරඑළිය,21,7,75,40,ප්‍රධාන වශතයන් වැසි රහිත
රේනපුරය,36,22,90,40,ප්‍රධාන වශතයන් වැසි රහිත
ිකුණාමලය,32,23,90,55,ප්‍රධාන වශතයන් වැසි රහිත
මන්නාරම,32,23,90,65,ප්‍රධාන වශතයන් වැසි රහිත
