River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12.00
midnight",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.00,4.00,Alert,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.66,5.58,Normal,,4.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.60,11.60,Normal,,14.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.93,1.93,Normal,,17.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.90,0.89,Normal,,1.4,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.25,1.25,Normal,,7,.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.84,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.70,3.70,Alert,,1.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.62,9.58,Normal,,"3.2
9.6",,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.12,4.03,Normal,,9.,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.84,3.80,Normal,,16.4,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.85,7.81,Minor Flood,Falling,11.,,0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.20,2.25,Normal,,13.4,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.66,3.63,Alert,Falling,6,.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.13,1.12,Normal,,2.1,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.22,4.27,Normal,,12.7,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.15,1.23,Normal,,14.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.39,0.46,Normal,,15.9,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.79,2.77,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.46,Normal,,8,.4,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.04,4.00,Alert,Falling,3.3,,,
