"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 03rd June 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"වයඹ පලාත
tlNky; khfhzk;
North Western",1,"පුත්තලම
Gj;jsk;
Puttalam",Arachchikattuwa,High Wind/Tree Fallen,2025.05.30,6,16,,,,,6,,,,,,
,,,Nattandiya,,,15,51,,,,,14,1,,,,,
,,,chilow,,,24,109,,,,,24,,,,,,
,,,Dankotuwa,,,17,60,,,,,16,1,,,,,
,,,Mundalama,,,48,166,,,,,48,,,,,,
,,,Mahawewa,,,5,18,,,,,5,,,,,,
,,,Wennappuwa,,,14,49,,,,,13,3,1,,,,
,,,Madampe,,,8,27,,,,,7,1,,,,,
,,,Mahakumbukkadawala,,,86,270,,,,,86,,1,,,,
,,,Pallama,,,25,98,,,,,25,2,,,,,
,,,Nawagattegama,,,4,16,,,,,4,,,,,,
,,,Puttalama,,,1,4,,,,,1,,,,,,
,,,Anamaduwa,,,70,230,,,,,70,1,4,,,,
,,,Wanatavilluwa,,,2,7,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,325,1121,0,0,0,0,321,9,6,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,325,1121,0,0,0,0,321,9,6,0,0,0,
"දකුණු පලාත
njd; khfhzk;
Southern",2,"හම්බන්තාට
`k;ghe;Njhl;il
Hambantota",Walassmulla,High Wind/ Heavy Rain,2025.05.29-31,18,72,,,,,18,,,,,,
,,,Agunakolapelessa,,2025.05.30-06.01,2,9,,,,,2,,,,,,
,,,Hambanthota,,2025.05.31,2,9,,,,,2,,,,,,
,,,Thangalla,,2025.05.31,7,24,,,,,7,,,,,,
,,,Katuwana,,2025.05.30,11,44,,,,,11,,,,,,
,,,Beliaththa,,2025.05.29-06.01,31,118,,,,,31,,,,,,
,,,Okewela,,2025.06.01,8,22,,,,,8,,,,,,
,,,Weeraketiya,,2025.05.31,2,4,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,81,302,0,0,0,0,81,0,0,0,0,0,
,3,"ගාල්ල
fhyp
Galle",Balapitiya,High Wind/ Rain,2025.05.31-06.01,3,10,,,,,3,,1,,,,
,,,Waduraba,High Wind/ Rain,2025.05.31-06.01,5,18,,,,,5,,,,,,
,,,Ambalangoda,High Wind/ Rain,2025.05.31-06.01,24,101,,,,,24,,,,,,
,,,Imaduwa,High Wind/ Rain,2025.05.31-06.01,8,32,,,,,8,,,,,,
,,,Waliwitiya Diwithura,High Wind/ Rain,2025.05.31-06.01,15,31,,,,,15,,,,,,
,,,Akmeemana,High Wind/ Rain,2025.05.31-06.01,2,9,,,,,2,,,,,,
,,,Habaraduwa,High Wind/ Rain,2025.05.31-06.02,6,20,,,,,6,,,,,,
,,,Baddegama,High Wind/ Rain,2025.05.31,54,189,,,,,54,1,,,,,
,,,Yakkalamulla,High Wind/ Rain,2025.05.31,7,29,,,,,7,,,,,,
,,,Thawalama,High Wind/ Rain,2025.05.31,1,3,,,,,1,,,,,,
,,,Nagoda,High Wind/ Rain,2025.05.30-31,65,223,,,,,65,,,,,,
,,,Rathgama,High Wind/ Rain,2025.05.30,2,8,,,,,2,,,,,,
,,,Madampagama,High Wind/ Rain,2025.05.31,2,10,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,194,683,0,0,0,0,194,1,1,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,275,985,0,0,0,0,275,1,1,0,0,0,
