River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.15,3.15,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.17,5.06,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.98,11.95,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.92,1.93,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.23,1.20,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.05,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.25,1.62,Alert,Rising,19.9
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.75,2.74,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.65,8.62,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.41,4.31,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.81,2.76,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.52,6.49,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.71,3.69,Alert,Falling,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.45,2.39,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.01,2.01,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.95,5.92,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.90,1.88,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.22,1.19,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.83,3.80,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.68,2.61,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.11,5.11,Minor Flood,,0.0
