River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
PM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.80,1.70,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.46,1.45,Normal,,3.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.66,9.66,Normal,,32,,.3
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.74,1.74,Normal,,31,,.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.70,0.77,Normal,,7.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.55,0.65,Normal,,30,,.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.74,0.74,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.85,0.87,Normal,,,13.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.57,5.57,Normal,,4.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.05,2.09,Normal,,,18.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.20,2.09,Normal,,7.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.71,3.78,Normal,,5.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.40,1.42,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.67,1.73,Normal,,0.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.45,0.45,Normal,,3.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.70,2.69,Normal,,4.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.84,0.83,Normal,,1.4,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.30,0.27,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.43,1.42,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.38,2.30,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.56,1.55,Normal,,4.2,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.55,2.45,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.29,2.35,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.95,0.94,Normal,,0.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.41,0.41,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.27,0.27,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.31,1.31,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.93,-2.75,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.70,1.70,Normal,,7.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.03,1.01,Normal,,1.6,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.54,0.63,Normal,,,17.7,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.15,2.15,Normal,,2.4,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.66,0.65,Normal,,2.7,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.75,2.85,Normal,,37,,.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.54,1.53,Normal,,,17.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.97,2.08,Normal,,63.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.43,2.42,Normal,,8.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.50,1.49,Normal,,,13.4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.72,1.64,Normal,,29,,.5
