River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.54,3.50,Normal,,5.1,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.35,10.42,Normal,,,36.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.91,2.09,Normal,,3.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.00,1.00,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.00,1.53,Normal,,16.8,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.20,1.11,Normal,,5.5,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.95,0.93,Normal,,0.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.57,5.67,Normal,,55,,.9
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.67,1.71,Normal,,6.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.54,1.54,Normal,,18.9,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.56,2.54,Normal,,18.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.22,1.22,Normal,,0.0,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.56,1.58,Normal,,4.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.50,0.49,Normal,,3.4,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.03,3.22,Normal,,116.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.88,0.88,Normal,,16.9,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.85,1.48,Normal,,67,,.8
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.08,1.07,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.37,1.38,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.11,1.10,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.65,1.65,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.78,0.78,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.29,1.29,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.96,0.96,Normal,,1.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.82,0.82,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.89,-1.90,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.42,Normal,,0.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.78,NA,,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.30,2.30,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.98,0.98,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,5.86,5.83,Alert,Falling,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.55,0.53,Normal,,0.6,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.07,3.07,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.95,1.94,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.28,2.33,Normal,,,38.5,
