ස්වයංක්‍රිය වර්ෂොමොන මධ්‍යස්ථොනය,දිස්ික් ය,වර්ෂොපතනය ( මි.මී )
කිරිඳිවැල,ගම්පහ,244
වේයන්වගාඩ,ගම්පහ,238
අවිස්සාවේල්ල,වකාළඹ,230
පවේගම වුයාය,කෑගල්ල,181
නිරිඇල්ල,රත්නපුර,171
තල්ූව,කෑගල්ල,146
