River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3:00
PM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.80,2.75,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.79,4.78,Normal,,4.8,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.72,12.68,Normal,,13.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.07,2.20,Normal,,7.1,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.17,1.16,Normal,,5.9,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.70,1.76,Normal,,10.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.88,Normal,,10.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.86,2.85,Normal,,7.4,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.99,7.96,Normal,,9.7,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.75,3.73,Normal,,3.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.03,4.02,Alert,Falling,5.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.96,6.94,Minor Flood,Falling,13.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.73,3.72,Alert,Falling,5.9,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.62,2.66,Normal,,21.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.30,1.29,Normal,,2.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.34,4.31,Normal,,7.8,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.20,1.27,Normal,,21.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.72,0.79,Normal,,27.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.79,0.78,Normal,,1.1,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.09,1.09,Normal,,4.6,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.94,0.93,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.03,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,8.1,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.06,0.06,Normal,,0.8,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.21,-0.22,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.01,-3.02,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.80,2.80,Normal,,5.4,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.40,2.41,Normal,,6.7,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.19,0.17,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.67,1.67,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.42,0.42,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.07,0.06,Normal,,0.7,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.38,0.38,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.67,2.67,Normal,,0.7,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.46,1.44,Normal,,1.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.56,2.54,Normal,,0.5,
