River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3.00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.75,2.45,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.77,2.74,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.67,10.59,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.87,1.87,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.85,0.83,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.77,0.79,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.94,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.22,1.19,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.98,5.95,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.13,2.14,Normal,,,8.7
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.00,1.99,Normal,,2.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.85,3.81,Normal,,2.7,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.02,3.00,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.20,2.49,Normal,,43.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.08,2.07,Minor Flood,Falling,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.20,6.16,Minor Flood,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.98,1.94,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.36,1.34,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.33,3.30,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.96,1.95,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.34,2.30,Normal,,0.0,
